item_id,book_title,concept,domain,cluster_description,item_type,description,text,title,numbers,url,combined_text,standard,all_standards
40,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,section,Relations and Functions,,,3.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Relations and Functions,8.F.B.4,8.F.B.4
41,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,title,,Determine if a Relation is a Function,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,Determine if a Relation is a Function,8.F.B.4,8.F.B.4
42,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,example,,,,"3.45,3.46,3.47",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:59fe6dc4-6e09-4a88-aa1c-b5f72bd79a20.xhtml,,8.F.B.4,8.F.B.4
43,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,section,Graphs of Functions,,,3.6,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4b2bbf1b-2df7-4b9a-9933-dd70d1fd8ada.xhtml,Graphs of Functions,8.F.B.5,8.F.B.5
44,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,title,,Read Information from a Graph of a Function,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4b2bbf1b-2df7-4b9a-9933-dd70d1fd8ada.xhtml,Read Information from a Graph of a Function,8.F.B.5,8.F.B.5
45,Intermediate Algebra 2e,8TH GRADE,Functions,Use functions to model relationships between quantities.,example,,,,"3.58,3.59",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:4b2bbf1b-2df7-4b9a-9933-dd70d1fd8ada.xhtml,,8.F.B.5,8.F.B.5
46,Intermediate Algebra 2e,NUMBER & QUANTITY,The Real Number System,Extend the properties of exponents to rational exponents,section,Properties of Exponents and Scientific Notation,,,5.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8a394961-3438-41bc-9e46-9d21493bf274.xhtml,Properties of Exponents and Scientific Notation,HSN.RN.A.2,HSN.RN.A.2
47,Intermediate Algebra 2e,NUMBER & QUANTITY,The Real Number System,Extend the properties of exponents to rational exponents,title,,Simplify Expressions Using the Properties for Exponents,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8a394961-3438-41bc-9e46-9d21493bf274.xhtml,Simplify Expressions Using the Properties for Exponents,HSN.RN.A.2,HSN.RN.A.2
48,Intermediate Algebra 2e,NUMBER & QUANTITY,The Real Number System,Extend the properties of exponents to rational exponents,example,,,,"5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.20,5.21",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:8a394961-3438-41bc-9e46-9d21493bf274.xhtml,,HSN.RN.A.2,HSN.RN.A.2
49,Intermediate Algebra 2e,NUMBER & QUANTITY,The Real Number System,Extend the properties of exponents to rational exponents,section,Simplify Rational Exponents,,,8.3,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:5f8936f5-a82d-4f0d-ba8d-8341d1f58083.xhtml,Simplify Rational Exponents,HSN.RN.A.2,HSN.RN.A.2
50,Intermediate Algebra 2e,NUMBER & QUANTITY,The Real Number System,Extend the properties of exponents to rational exponents,example,,,,8.28,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:5f8936f5-a82d-4f0d-ba8d-8341d1f58083.xhtml,,HSN.RN.A.2,HSN.RN.A.2
51,Intermediate Algebra 2e,NUMBER & QUANTITY,The Real Number System,Extend the properties of exponents to rational exponents,title,,Use the properties of exponents to simplify expressions with rational exponents -,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:5f8936f5-a82d-4f0d-ba8d-8341d1f58083.xhtml,Use the properties of exponents to simplify expressions with rational exponents -,HSN.RN.A.2,HSN.RN.A.2
52,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,section,Solve Mixture and Uniform Motion Applications,,,2.4,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,Solve Mixture and Uniform Motion Applications,HSN.Q.A.3,HSN.Q.A.3
53,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,title,,Solve coin word problems,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,Solve coin word problems,HSN.Q.A.3,HSN.Q.A.3
54,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,example,,,,"2.39,2.40,2.41",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,,HSN.Q.A.3,HSN.Q.A.3
55,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,title,,Solve mixture word problems,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,Solve mixture word problems,HSN.Q.A.3,HSN.Q.A.3
56,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,example,,,,2.42,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,,HSN.Q.A.3,HSN.Q.A.3
57,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,title,,Solve a uniform motion application,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,Solve a uniform motion application,HSN.Q.A.3,HSN.Q.A.3
58,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,example,,,,"2.43,2.44,2.45,2.46,2.47",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:03cd7e0b-bb44-48fe-907b-6018225174d7.xhtml,,HSN.Q.A.3,HSN.Q.A.3
59,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,section,Slope of a Line,,,3.2,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Slope of a Line,HSN.Q.A.3,HSN.Q.A.3
60,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,title,,Graph and Interpret Applications of Slope-Intercept,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,Graph and Interpret Applications of Slope-Intercept,HSN.Q.A.3,HSN.Q.A.3
61,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,example,,,,3.20,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:f54f6801-0920-459c-af2e-72f85ddda846.xhtml,,HSN.Q.A.3,HSN.Q.A.3
62,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,section,Solve Applications of Quadratic Equations,,,9.5,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:99e5b365-1031-4792-a49a-80e7e69855eb.xhtml,Solve Applications of Quadratic Equations,HSN.Q.A.3,HSN.Q.A.3
63,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,example,,,,"9.36,9.37",https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:99e5b365-1031-4792-a49a-80e7e69855eb.xhtml,,HSN.Q.A.3,HSN.Q.A.3
64,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,section,Decimals,,,1.4,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:a140725d-a6e3-4705-8430-b4f350efb27f.xhtml,Decimals,HSN.Q.A.3,HSN.Q.A.3
65,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,title,,Round decimals,,,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:a140725d-a6e3-4705-8430-b4f350efb27f.xhtml,Round decimals,HSN.Q.A.3,HSN.Q.A.3
66,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,title,,Convert a percent to a decimal and a decimal to a percent,,,,Convert a percent to a decimal and a decimal to a percent,HSN.Q.A.3,HSN.Q.A.3
67,Intermediate Algebra 2e,NUMBER & QUANTITY,Quantities,Reason quantitatively and use units to solve problems,example,,,,1.40,https://openstax-web-hosting-content-primary.s3.amazonaws.com/apps/archive/20251118.192121/contents/4664c267-cd62-4a99-8b28-1cb9b3aee347@954da97:a140725d-a6e3-4705-8430-b4f350efb27f.xhtml,,HSN.Q.A.3,HSN.Q.A.3
